Event	ID	Name			Wwise Object Path	Notes
	19389036	auntieMoveClick			\Default Work Unit\auntieMoveClick	
	174960569	loose			\Default Work Unit\loose	
	306690129	trollGrowl			\Default Work Unit\trollGrowl	
	329248667	auntiePickUpCake			\Default Work Unit\auntiePickUpCake	
	410468912	trollEating			\Default Work Unit\trollEating	
	835295888	trollFootstep			\Default Work Unit\trollFootstep	
	979765101	win			\Default Work Unit\win	
	1067378438	trollRoar			\Default Work Unit\trollRoar	
	1173430014	trollHitByCake			\Default Work Unit\trollHitByCake	
	2277583578	auntieGasp			\Default Work Unit\auntieGasp	
	3500283897	auntieFootstep			\Default Work Unit\auntieFootstep	
	3594466803	trollCatchLaughter			\Default Work Unit\trollCatchLaughter	
	3621737089	auntiePickUpClothes			\Default Work Unit\auntiePickUpClothes	
	3638507867	forestSoundscape			\Default Work Unit\forestSoundscape	
	3666468717	auntieThrow			\Default Work Unit\auntieThrow	
	3711598968	menuClick			\Default Work Unit\menuClick	
	4278306412	auntieScream			\Default Work Unit\auntieScream	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	22198494	footstep_5	C:\Users\nelkj\OneDrive\Dokumenter\Unity\wwise test 2\auntiesWwise\.cache\Windows\SFX\footstep_5_7B751375.wem		\Actor-Mixer Hierarchy\Default Work Unit\Auntie\footsteps\footsteps\footstep_5		46216
	65494664	footstep_1	C:\Users\nelkj\OneDrive\Dokumenter\Unity\wwise test 2\auntiesWwise\.cache\Windows\SFX\footstep_1_C13129E7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Auntie\footsteps\footsteps\footstep_1		45500
	79779153	troll_eating_3	C:\Users\nelkj\OneDrive\Dokumenter\Unity\wwise test 2\auntiesWwise\.cache\Windows\SFX\troll_eating_3_6C4CB798.wem		\Actor-Mixer Hierarchy\Default Work Unit\Troll\troll_eating\troll_eating_3		176464
	80040531	auntie_gasp_3	C:\Users\nelkj\OneDrive\Dokumenter\Unity\wwise test 2\auntiesWwise\.cache\Windows\SFX\auntie_gasp_3_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Auntie\gasp\auntie_gasp_3		57476
	116425071	footstep_branch_3	C:\Users\nelkj\OneDrive\Dokumenter\Unity\wwise test 2\auntiesWwise\.cache\Windows\SFX\footstep_branch_3_CAD0F03D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Auntie\footsteps\footstep_branches\footstep_branch_3		27520
	185832494	click_3	C:\Users\nelkj\OneDrive\Dokumenter\Unity\wwise test 2\auntiesWwise\.cache\Windows\SFX\click_3_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Game\click\click_3		18492
	194033676	troll_wraa_2	C:\Users\nelkj\OneDrive\Dokumenter\Unity\wwise test 2\auntiesWwise\.cache\Windows\SFX\troll_wraa_2_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Troll\troll_wraas\troll_wraa_2		207608
	283808173	troll_growl_3	C:\Users\nelkj\OneDrive\Dokumenter\Unity\wwise test 2\auntiesWwise\.cache\Windows\SFX\troll_growl_3_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Troll\troll_growls\troll_growl_3		301304
	314772158	clothes_1	C:\Users\nelkj\OneDrive\Dokumenter\Unity\wwise test 2\auntiesWwise\.cache\Windows\SFX\clothes_1_9E69E797.wem		\Actor-Mixer Hierarchy\Default Work Unit\Items\clothes_1		173928
	353953596	click_2	C:\Users\nelkj\OneDrive\Dokumenter\Unity\wwise test 2\auntiesWwise\.cache\Windows\SFX\click_2_657A035A.wem		\Actor-Mixer Hierarchy\Default Work Unit\Game\click\click_2		27656
